ari.lak.simdata1,ari.sc3.simdata1,ari.lak.simdata2,ari.sc3.simdata2,ari.lak.simdata3,ari.sc3.simdata3,ari.lak.simdata4,ari.sc3.simdata4
0.869409171,0.999314031,0.887384006,0.996883388,0.95236929,0.998437813,0.879890113,0.997391686
0.869409171,0.941466448,0.887384006,0.883477394,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.974469529,0.89187968,0.996109098,0.896816272,0.999217939,0.879890113,0.996400514
0.869013309,0.994696258,0.89187968,0.881813447,0.95236929,0.879870652,0.79412075,0.997391686
0.869013309,0.96496936,0.888720372,0.870288405,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.889039907,0.888720372,0.902690867,0.95236929,0.999217939,0.79412075,0.997391686
0.869814522,0.999314031,0.888720372,0.875915576,0.95236929,0.999217939,0.879890113,0.996481721
0.869409171,0.991709162,0.888379814,0.869134281,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.972410006,0.887384006,0.995336761,0.896816272,0.995336761,0.791607215,0.997391686
0.869409171,0.990967388,0.890803186,0.877178012,0.896816272,0.999217939,0.879890113,0.995681213
0.869409171,0.994696258,0.88615205,0.871313836,0.95236929,0.877827847,0.879890113,0.997391686
0.869409171,0.970346847,0.887714175,0.875915576,0.95236929,0.999217939,0.879890113,0.997391686
0.869013309,0.999314031,0.89187968,0.874937792,0.896816272,0.999217939,0.79412075,0.997391686
0.869409171,0.953382851,0.888379814,0.871188963,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.976559347,0.890449546,0.996883388,0.95236929,0.996883388,0.879890113,0.997391686
0.869409171,0.935523435,0.884936905,0.88263347,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.888053692,0.887384006,0.998474798,0.95236929,0.999217939,0.79412075,0.997391686
0.869013309,0.967640935,0.888720372,0.997715142,0.95236929,0.996883388,0.879890113,0.997391686
0.869409171,0.993946493,0.89187968,0.998474798,0.95236929,0.999217939,0.79412075,0.995861179
0.869409171,0.998630121,0.885236736,0.868419275,0.95236929,0.997659628,0.879890113,0.997391686
0.869814522,0.998630121,0.88615205,0.998474798,0.95236929,0.999217939,0.79412075,0.996625451
0.869409171,0.999314031,0.888720372,0.878773309,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.90661946,0.89187968,0.998474798,0.95236929,0.875086903,0.791607215,0.997391686
0.869409171,0.993946493,0.887384006,0.878073492,0.896816272,0.997659628,0.879890113,0.997391686
0.868518301,0.993198719,0.888720372,0.871840629,0.95236929,0.876145207,0.879890113,0.997391686
0.869013309,0.995448009,0.887384006,0.868639321,0.95236929,0.998437813,0.79412075,0.997391686
0.869409171,0.983660816,0.89187968,0.87475035,0.95236929,0.999217939,0.879890113,0.996481721
0.869409171,0.995448009,0.888720372,0.998474798,0.896816272,0.995336761,0.879890113,0.996400514
0.869409171,0.999314031,0.887384006,0.868852453,0.896816272,0.999217939,0.879890113,0.997391686
0.869409171,0.993198719,0.887384006,0.998474798,0.95236929,0.995336761,0.879890113,0.997391686
0.869409171,0.997715142,0.888720372,0.892496805,0.95236929,0.996109098,0.879890113,0.985370036
