ari.lak.simdata1,ari.sc3.simdata1,ari.lak.simdata2,ari.sc3.simdata2,ari.lak.simdata3,ari.sc3.simdata3,ari.lak.simdata4,ari.sc3.simdata4
0.990464585,0.985332143,0.918001114,0.862212165,0.93330144,0.999572945,0.86782679,0.990804658
0.990464585,0.986623569,0.918001114,0.860493308,0.93330144,0.999572945,0.86782679,0.995630421
0.990464585,0.998625011,0.904525691,0.859180519,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.989231877,0.918001114,0.859335037,0.93330144,0.999572945,0.86782679,0.990804658
0.990464585,0.997258236,0.918001114,0.859279854,0.93330144,0.999572945,0.86782679,0.995630421
0.990464585,0.997258236,0.904525691,0.862751568,0.93330144,0.998625011,0.86782679,0.995630421
0.990464585,0.998625011,0.918001114,0.867321515,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.998625011,0.918001114,0.859478501,0.93330144,0.999572945,0.86782679,0.993111022
0.990464585,0.997258236,0.904525691,0.859169481,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.997258236,0.904525691,0.862476392,0.93330144,0.998747843,0.86782679,0.995630421
0.990464585,0.991873924,0.918001114,0.859897761,0.93330144,0.999572945,0.86782679,0.994022359
0.990464585,0.997258236,0.89705733,0.864291423,0.93330144,0.999572945,0.86782679,0.992405558
0.990464585,0.986623569,0.918001114,0.859202594,0.93330144,0.998747843,0.86782679,0.984478773
0.990464585,0.998625011,0.904525691,0.867321515,0.93330144,0.998747843,0.86782679,0.978237624
0.990464585,0.997258236,0.899783266,0.859180519,0.93330144,0.999572945,0.86782679,0.992405558
0.990464585,0.998625011,0.904525691,0.859235706,0.93330144,0.999572945,0.86782679,0.987626101
0.990464585,0.989231877,0.918001114,0.859478501,0.93330144,0.999572945,0.86782679,0.990804658
0.990464585,0.998625011,0.904525691,0.861958894,0.93330144,0.998747843,0.86782679,0.995221627
0.990464585,0.979003517,0.918001114,0.998625011,0.93330144,0.993602369,0.86782679,0.995630421
0.990464585,0.997258236,0.904525691,0.862751568,0.93330144,0.998747843,0.86782679,0.995630421
0.990464585,0.998625011,0.918001114,0.862476392,0.93330144,0.998747843,0.86782679,0.995630421
0.990464585,0.991873924,0.899783266,0.859666082,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.998625011,0.918001114,0.859180519,0.93330144,0.999572945,0.86782679,0.995630421
0.990464585,0.990548699,0.904525691,0.861716586,0.93330144,0.998747843,0.86782679,0.994829635
0.990464585,0.998625011,0.918001114,0.859776411,0.93330144,0.998747843,0.86782679,0.990804658
0.990464585,0.998625011,0.918001114,0.867321515,0.93330144,0.998747843,0.86782679,0.991086239
0.990464585,0.997258236,0.918001114,0.859776411,0.93330144,0.998747843,0.86782679,0.994022359
0.990464585,0.991873924,0.899783266,0.860327907,0.93330144,0.998625011,0.86782679,0.994014158
0.990464585,0.997258236,0.904525691,0.861055505,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.99454946,0.904525691,0.879867152,0.93330144,0.999572945,0.86782679,0.981035443
0.990464585,0.998625011,0.918001114,0.863334739,0.940522863,0.998747843,0.86782679,0.995630421
0.990464585,0.998625011,0.918001114,0.861264886,0.93330144,0.998747843,0.86782679,0.995630421
0.990464585,0.997258236,0.904525691,0.860857112,0.93330144,0.999572945,0.86782679,0.992405558
0.990464585,0.985332143,0.904525691,0.859666082,0.93330144,0.998747843,0.86782679,0.994022359
0.990464585,0.991873924,0.899783266,0.859478501,0.93330144,0.99454946,0.86782679,0.995630421
0.990464585,0.997258236,0.899783266,0.878553152,0.93330144,0.998747843,0.86782679,0.995630421
0.990464585,0.997258236,0.918001114,0.860327907,0.93330144,0.999572945,0.86782679,0.992405558
0.990464585,0.990548699,0.904525691,0.863961616,0.93330144,0.999572945,0.86782679,0.994014158
0.990464585,0.991873924,0.89705733,0.859401253,0.93330144,0.998747843,0.86782679,0.990804658
0.990464585,0.998625011,0.918001114,0.859666082,0.93330144,0.998747843,0.86782679,0.992405558
0.990464585,0.997258236,0.918001114,0.864983731,0.93330144,0.999572945,0.86782679,0.980077562
0.990464585,0.998625011,0.918001114,0.859566778,0.93330144,0.998747843,0.86782679,0.986048515
0.990464585,0.998625011,0.904525691,0.863037687,0.93330144,0.999572945,0.86782679,0.989211493
0.990464585,0.997258236,0.904525691,0.998625011,0.93330144,0.998747843,0.86782679,0.981035443
0.990464585,0.997258236,0.918001114,0.86003013,0.93330144,0.998747843,0.86782679,0.992405558
0.990464585,0.998625011,0.904525691,0.859202594,0.93330144,0.999572945,0.86782679,0.992415906
0.990464585,0.99454946,0.904525691,0.86003013,0.93330144,0.998747843,0.86782679,0.992405558
0.990464585,0.991873924,0.904525691,0.863961616,0.93330144,0.999572945,0.86782679,0.995630421
0.990464585,0.997258236,0.89705733,0.867321515,0.93330144,0.998747843,0.86782679,0.985294032
0.990464585,0.998625011,0.918001114,0.861716586,0.93330144,0.999572945,0.86782679,0.982916909
0.990464585,0.990548699,0.918001114,0.862476392,0.93330144,0.998747843,0.86782679,0.994014158
